X	Y1	Y2	Y3
81.3181126	71.5763008	71.5763008	71.5763008
108.483211	103.057202	103.057202	103.057202
124.851422	107.892029	107.892029	107.892029
101.733797	92.3763047	92.3763047	92.3763047
111.873452	116.722526	116.722526	116.722526
115.414924	124.04523	124.04523	124.04523
100.895119	122.22292	122.22292	122.22292
131.090627	130.134508	130.134508	130.134508
135.108026	114.334566	114.334566	114.334566
88.2843939	72.7872432	72.7872432	72.7872432
83.0633092	83.6740322	83.6740322	83.6740322
70.9314709	73.0088936	73.0088936	73.0088936
52.8426548	52.332591	52.332591	52.332591
146.768541	139.305762	139.305762	139.305762
120.996723	126.944364	126.944364	126.944364
134.278803	149.104808	149.104808	149.104808
144.205006	124.142962	124.142962	124.142962
140.500343	137.527666	137.527666	137.527666
138.681419	135.74514	135.74514	135.74514
79.5365324	59.7303641	59.7303641	59.7303641
58.5258814	73.8524105	73.8524105	73.8524105
119.519385	136.033688	136.033688	136.033688
58.7491921	40.4957117	40.4957117	40.4957117
123.20329	133.577669	133.577669	133.577669
123.579302	123.840702	123.840702	123.840702
144.869663	149.120176	149.120176	149.120176
54.8060387	39.8562831	39.8562831	39.8562831
58.7364881	57.0927327	57.0927327	57.0927327
65.6588931	75.8002526	75.8002526	75.8002526
103.440216	108.608073	108.608073	108.608073
127.37002	131.039546	131.039546	131.039546
143.139278	148.0502	148.0502	148.0502
98.9644864	97.8139895	97.8139895	97.8139895
140.074351	155.38602	155.38602	155.38602
100.040749	99.5627322	99.5627322	99.5627322
139.139393	123.719896	123.719896	123.719896
132.625458	114.915105	114.915105	114.915105
127.66003	129.189929	129.189929	129.189929
90.1542166	96.8885479	96.8885479	96.8885479
69.7106723	67.5901797	67.5901797	67.5901797
117.615189	96.6548505	96.6548505	96.6548505
62.8895602	58.9259884	58.9259884	58.9259884
110.668455	90.6143808	90.6143808	90.6143808
146.995367	139.909087	139.909087	139.909087
109.973842	93.6957721	93.6957721	93.6957721
149.406804	152.491527	152.491527	152.491527
90.6915153	90.6179037	90.6179037	90.6179037
117.884547	107.230992	107.230992	107.230992
140.74847	121.932047	121.932047	121.932047
105.269565	116.544933	116.544933	116.544933
83.4580541	73.448454	73.448454	73.448454
72.4041775	87.6069494	87.6069494	87.6069494
128.890422	121.651622	121.651622	121.651622
136.088908	142.055348	142.055348	142.055348
125.069483	103.795717	103.795717	103.795717
86.069469	92.3517036	92.3517036	92.3517036
101.504682	113.487243	113.487243	113.487243
87.4325769	90.1237593	90.1237593	90.1237593
103.898866	107.515465	107.515465	107.515465
131.975563	127.277452	127.277452	127.277452
150	50		
150		150	
100			150
