Time	Disney	Exxon	McDonalds	Risk-Free Return	Date
1990	-0.069241069	-0.059999999	-0.054347824	0.005852	2716588800
1990.083333	0.051620647	0.012765958	-0.032107279	0.005818	2719008000
1990.166667	0.014840183	-0.018617021	0.007936508	0.00638	2721600000
1990.25	-0.00431946	-0.01897019	-0.047244094	0.006829	2724278400
1990.333333	0.167420819	0.074033149	0.14743802	0.006404	2726956800
1990.416667	-0.005813953	-0.002604167	0.025270758	0.005898	2729462400
1990.5	-0.081715398	0.083550915	-0.116197184	0.006704	2732227200
1990.583333	-0.129649311	-0.024578312	-0.108844623	0.006154	2734905600
1990.666667	-0.114774115	-0.02	-0.067264572	0.005984	2737324800
1990.75	0.005737931	0	-0.028846154	0.006559	2740176000
1990.833333	0.094780222	0.046836734	0.117227726	0.005651	2742768000
1990.916667	0.018820576	0.022222223	0.035555556	0.005989	2745446400
1991	0.067931034	-0.002415459	-0.021459227	0.004637	2748124800
1991.083333	0.139722869	0.080774821	0.109649122	0.004767	2750544000
1991.166667	-0.035460994	0.06122449	0.101501979	0.004391	2752963200
1991.25	-0.031092437	0.017094018	-0.035971224	0.005335	2755814400
1991.333333	0.007600434	-0.009747899	0.047537312	0.004461	2758492800
1991.416667	-0.038793102	-0.002145923	-0.060714286	0.004171	2760912000
1991.5	0.084529147	0.021505376	-0.003802281	0.00484	2763763200
1991.583333	-0.016563147	-0.007663158	-0.000992366	0.00461	2766355200
1991.666667	-0.039999999	0.021459227	0.072796933	0.004558	2769033600
1991.75	0.043201756	0.025210084	-0.007142857	0.004246	2771712000
1991.833333	-0.117894739	-0.02795082	-0.02971223	0.003915	2774217600
1991.916667	0.093078762	0.038379531	0.13011153	0.003792	2776982400
1992	0.193668127	-0.043121152	0.144736841	0.003059	2779660800
1992.083333	0.126373634	-0.007811158	-0.066839084	0.002828	2782080000
1992.166667	-0.013821138	-0.041575491	-0.015432099	0.003376	2784844800
1992.25	-0.037361912	0.09589041	0.112852663	0.003303	2787436800
1992.333333	0.042881645	0.022416668	0.058591548	0.002758	2789942400
1992.416667	-0.049342107	0.020618556	-0.018666666	0.003201	2792707200
1992.5	-0.002006921	0.026262626	-0.046195652	0.002892	2795385600
1992.583333	-0.041666668	0.023149606	-0.029059829	0.002605	2798064000
1992.666667	0.050724637	-0.005836576	0.044117648	0.002573	2800656000
1992.75	0.087655172	-0.04109589	0.033802819	0.002286	2803248000
1992.833333	0.071428575	-0.016816325	0.07029973	0.002346	2805926400
1992.916667	0.019259259	0.027310925	-0.005102041	0.00227	2808604800
1993	0.062267441	0	-0.002564103	0.002335	2811110400
1993.083333	-0.02739726	0.052678935	0.043187659	0.002209	2813529600
1993.166667	0.002816901	0.03929273	0.044444446	0.002538	2816380800
1993.25	-0.082865171	-0.001890359	-0.089834519	0.002372	2818972800
1993.333333	0.079754598	0.003333334	0.033766232	0.002168	2821392000
1993.416667	-0.073863633	0.009541985	-0.01040201	0.002756	2824243200
1993.5	-0.078220859	-0.007561437	0.048346058	0.002402	2826835200
1993.583333	0.046666667	0.007161905	0.045776699	0.00253	2829600000
1993.666667	-0.038216561	0.001912046	-0.034883723	0.002356	2832192000
1993.75	0.140728474	-0.001908397	0.110843375	0.00221	2834697600
1993.833333	-0.072674416	-0.029139578	0.019219089	0.002477	2837462400
1993.916667	0.068965517	0.005976096	-0.02771855	0.002263	2840140800
1994	0.109970674	0.053465348	0.065789476	0.002503	2842819200
1994.083333	0.015873017	-0.013609022	-0.000288066	0.00212	2845238400
1994.166667	-0.125	-0.030828517	-0.06185567	0.002469	2847916800
1994.25	0.013690476	0	0.054945055	0.002711	2850422400
1994.333333	0.020588236	-0.016381709	0.033333335	0.00315	2853187200
1994.416667	-0.040345822	-0.071574643	-0.066612907	0.003118	2855779200
1994.5	0.01981982	0.048458152	-0.060606062	0.002751	2858284800
1994.583333	-0.026548672	0.012100841	0.043686636	0.003687	2861136000
1994.666667	-0.060606062	-0.033613447	-0.066371679	0.003659	2863728000
1994.75	0.021290323	0.093478262	0.094786733	0.00384	2866406400
1994.833333	0.101265825	-0.027833002	-0.015238095	0.003691	2868998400
1994.916667	0.057471264	0.00621118	0.030837005	0.00443	2871590400
1995	0.107608698	0.028806584	0.115384616	0.004156	2874355200
1995.083333	0.049140047	0.034000002	0.020996168	0.003983	2876774400
1995.166667	0.00234192	0.043052837	0.02631579	0.004134	2879452800
1995.25	0.036728971	0.043151971	0.025641026	0.00445	2881872000
1995.333333	0.002257336	0.037769783	0.084071428	0.005355	2884723200
1995.416667	0	-0.010507881	0.0330033	0.004714	2887315200
1995.5	0.057927929	0.026548673	-0.012779552	0.004522	2889993600
1995.583333	-0.040511727	-0.04137931	-0.053268608	0.004637	2892672000
1995.666667	0.02	0.050909091	0.047945205	0.004309	2895177600
1995.75	0.005925926	0.057093427	0.071895428	0.004714	2897942400
1995.833333	0.043383949	0.022913257	0.090060979	0.004108	2900534400
1995.916667	-0.019293139	0.048465267	0.011204482	0.004882	2903040000
1996	0.091295116	-0.010785825	0.11357341	0.004278	2905891200
1996.083333	0.019455252	0	-0.003631841	0.003908	2908396800
1996.166667	-0.024809161	0.025157232	-0.039999999	0.003943	2910902400
1996.25	-0.027632093	0.042944785	-0.002604167	0.004579	2913667200
1996.333333	-0.02016129	0.006352942	0.006788512	0.003982	2916345600
1996.416667	0.034979425	0.025073746	-0.028571429	0.004	2918764800
1996.5	-0.11355865	-0.053237408	-0.00802139	0.004497	2921616000
1996.583333	0.0247191	0.000486322	0.001617251	0.004122	2924208000
1996.666667	0.109649122	0.021472393	0.021563342	0.004375	2926886400
1996.75	0.043241106	0.064564563	-0.060686015	0.004246	2929564800
1996.833333	0.121442124	0.073794074	0.052247193	0.003941	2932070400
1996.916667	-0.055837564	0.038410597	-0.029411765	0.004404	2934835200
1997	0.046379928	0.057397958	0.002754821	0.004014	2937513600
1997.083333	0.018867925	-0.024945717	-0.047802199	0.003788	2939932800
1997.166667	-0.018518519	0.074812971	0.092485547	0.00431	2942611200
1997.25	0.123602055	0.051044084	0.132275134	0.004313	2945203200
1997.333333	0.001529052	0.053598233	-0.059205607	0.004263	2947795200
1997.416667	-0.019847328	0.033755273	-0.038557213	0.003744	2950473600
